Ano,Valor_EUR,Fonte
2013,485.00,DGAEP/Pordata
2014,505.00,DGAEP/Pordata
2015,505.00,DGAEP/Pordata
2016,530.00,DGAEP/Pordata
2017,557.00,DGAEP/Pordata
2018,580.00,DGAEP/Pordata
2019,600.00,DGAEP/Pordata
2020,635.00,DGAEP/Pordata
2021,665.00,DGAEP/Pordata
2022,705.00,DGAEP/Pordata
2023,760.00,DGAEP/Pordata
2024,820.00,DGAEP/Pordata
2025,870.00,DGAEP/Pordata
2026,920.00,DGAEP/Pordata
