geo_cod,geo_dsg,geo_nivel,periodo,valor_eur_m2
111,Alto Minho,4,4.º Trimestre de 2019,846
111,Alto Minho,4,1.º Trimestre de 2020,853
111,Alto Minho,4,2.º Trimestre de 2020,865
111,Alto Minho,4,3.º Trimestre de 2020,870
111,Alto Minho,4,4.º Trimestre de 2020,891
111,Alto Minho,4,1.º Trimestre de 2021,893
111,Alto Minho,4,2.º Trimestre de 2021,895
111,Alto Minho,4,3.º Trimestre de 2021,925
111,Alto Minho,4,4.º Trimestre de 2021,945
111,Alto Minho,4,1.º Trimestre de 2022,972
111,Alto Minho,4,2.º Trimestre de 2022,1012
111,Alto Minho,4,3.º Trimestre de 2022,1035
111,Alto Minho,4,4.º Trimestre de 2022,1064
111,Alto Minho,4,1.º Trimestre de 2023,1073
111,Alto Minho,4,2.º Trimestre de 2023,1077
111,Alto Minho,4,3.º Trimestre de 2023,1091
111,Alto Minho,4,4.º Trimestre de 2023,1108
111,Alto Minho,4,1.º Trimestre de 2024,1124
111,Alto Minho,4,2.º Trimestre de 2024,1158
111,Alto Minho,4,3.º Trimestre de 2024,1193
111,Alto Minho,4,4.º Trimestre de 2024,1248
111,Alto Minho,4,1.º Trimestre de 2025,1313
111,Alto Minho,4,2.º Trimestre de 2025,1345
111,Alto Minho,4,3.º Trimestre de 2025,1365
111,Alto Minho,4,4.º Trimestre de 2025,1401
111,Alto Minho,4,1.º Trimestre de 2026,1472
1111603,Melgaço,5,4.º Trimestre de 2019,545
1111603,Melgaço,5,1.º Trimestre de 2020,554
1111603,Melgaço,5,2.º Trimestre de 2020,515
1111603,Melgaço,5,3.º Trimestre de 2020,399
1111603,Melgaço,5,4.º Trimestre de 2020,426
1111603,Melgaço,5,1.º Trimestre de 2021,337
1111603,Melgaço,5,2.º Trimestre de 2021,332
1111603,Melgaço,5,3.º Trimestre de 2021,381
1111603,Melgaço,5,4.º Trimestre de 2021,362
1111603,Melgaço,5,1.º Trimestre de 2022,400
1111603,Melgaço,5,2.º Trimestre de 2022,394
1111603,Melgaço,5,3.º Trimestre de 2022,352
1111603,Melgaço,5,4.º Trimestre de 2022,359
1111603,Melgaço,5,1.º Trimestre de 2023,428
1111603,Melgaço,5,2.º Trimestre de 2023,400
1111603,Melgaço,5,3.º Trimestre de 2023,420
1111603,Melgaço,5,4.º Trimestre de 2023,404
1111603,Melgaço,5,1.º Trimestre de 2024,388
1111603,Melgaço,5,2.º Trimestre de 2024,422
1111603,Melgaço,5,3.º Trimestre de 2024,422
1111603,Melgaço,5,4.º Trimestre de 2024,400
1111603,Melgaço,5,1.º Trimestre de 2025,475
1111603,Melgaço,5,2.º Trimestre de 2025,475
1111603,Melgaço,5,3.º Trimestre de 2025,530
1111603,Melgaço,5,4.º Trimestre de 2025,710
1111603,Melgaço,5,1.º Trimestre de 2026,734
1111605,Paredes de Coura,5,4.º Trimestre de 2019,513
1111605,Paredes de Coura,5,1.º Trimestre de 2020,500
1111605,Paredes de Coura,5,2.º Trimestre de 2020,479
1111605,Paredes de Coura,5,3.º Trimestre de 2020,479
1111605,Paredes de Coura,5,4.º Trimestre de 2020,509
1111605,Paredes de Coura,5,1.º Trimestre de 2021,511
1111605,Paredes de Coura,5,2.º Trimestre de 2021,531
1111605,Paredes de Coura,5,3.º Trimestre de 2021,594
1111605,Paredes de Coura,5,4.º Trimestre de 2021,652
1111605,Paredes de Coura,5,1.º Trimestre de 2022,654
1111605,Paredes de Coura,5,2.º Trimestre de 2022,646
1111605,Paredes de Coura,5,3.º Trimestre de 2022,663
1111605,Paredes de Coura,5,4.º Trimestre de 2022,587
1111605,Paredes de Coura,5,1.º Trimestre de 2023,565
1111605,Paredes de Coura,5,2.º Trimestre de 2023,645
1111605,Paredes de Coura,5,3.º Trimestre de 2023,600
1111605,Paredes de Coura,5,4.º Trimestre de 2023,723
1111605,Paredes de Coura,5,1.º Trimestre de 2024,753
1111605,Paredes de Coura,5,2.º Trimestre de 2024,722
1111605,Paredes de Coura,5,3.º Trimestre de 2024,743
1111605,Paredes de Coura,5,4.º Trimestre de 2024,708
